

symbol,date,o,h,l,c
pcrw,20181211,0.66,0.66,0.66,0.66
pcrw,20181212,0.3,0.3,0.3,0.3
pcrw,20181213,0.65,0.65,0.65,0.65
pcrw,20181217,0.54,0.54,0.54,0.54
pcrw,20181218,0.43,0.43,0.43,0.43
pcrw,20181219,0.49,0.49,0.49,0.49
pcrw,20181220,0.41,0.41,0.41,0.41
pcrw,20181221,2.16,2.16,2.16,2.16
pcrw,20181224,1.8,1.8,1.8,1.8
pcrw,20181226,0.2,0.2,0.2,0.2
pcrw,20181227,0.42,0.42,0.42,0.42
pcrw,20181228,0.79,0.79,0.79,0.79
pcrw,20181231,0.71,0.71,0.71,0.71
pcrw,20190101,0.67,0.67,0.67,0.67
pcrw,20190102,0.67,0.67,0.67,0.67
pcrw,20190102,1.2,1.2,1.2,1.2
pcrw,20190103,1.54,1.54,1.54,1.54
pcrw,20190104,0.71,0.71,0.71,0.71
pcrw,20190107,1.04,1.04,1.04,1.04
pcrw,20190108,0.85,0.85,0.85,0.85
pcrw,20190109,0.95,0.95,0.95,0.95
pcrw,20190110,1.11,1.11,1.11,1.11
pcrw,20190111,1.17,1.17,1.17,1.17
pcrw,20190114,1.14,1.14,1.14,1.14
pcrw,20190115,0.57,0.57,0.57,0.57
pcrw,20190116,0.79,0.79,0.79,0.79
pcrw,20190117,0.96,0.96,0.96,0.96
pcrw,20190118,0.71,0.71,0.71,0.71
pcrw,20190121,0.77,0.77,0.77,0.77
pcrw,20190122,0.86,0.86,0.86,0.86
pcrw,20190123,1.82,1.82,1.82,1.82
pcrw,20190124,0.74,0.74,0.74,0.74
pcrw,20190125,2.83,2.83,2.83,2.83
pcrw,20190128,1.69,1.69,1.69,1.69
pcrw,20190129,0.58,0.58,0.58,0.58
pcrw,20190130,2.01,2.01,2.01,2.01
pcrw,20190131,0.08,0.08,0.08,0.08
pcrw,20190201,0.94,0.94,0.94,0.94
pcrw,20190204,0.71,0.71,0.71,0.71
pcrw,20190206,0.59,0.59,0.59,0.59
pcrw,20190208,0.91,0.91,0.91,0.91
pcrw,20190208,1.83,1.83,1.83,1.83
pcrw,20190211,0.96,0.96,0.96,0.96
pcrw,20190212,1.31,1.31,1.31,1.31
pcrw,20190213,1.82,1.82,1.82,1.82
pcrw,20190214,1.0,1.0,1.0,1.0
pcrw,20190215,1.1,1.1,1.1,1.1
pcrw,20190218,2.01,2.01,2.01,2.01
pcrw,20190219,2.22,2.22,2.22,2.22
pcrw,20190220,0.63,0.63,0.63,0.63
pcrw,20190221,0.65,0.65,0.65,0.65
pcrw,20190222,0.73,0.73,0.73,0.73
pcrw,20190226,0.38,0.38,0.38,0.38
pcrw,20190226,1.13,1.13,1.13,1.13
pcrw,20190228,2.4,2.4,2.4,2.4
pcrw,20190301,0.91,0.91,0.91,0.91
pcrw,20190306,0.9,0.9,0.9,0.9
pcrw,20190307,0.67,0.67,0.67,0.67
pcrw,20190308,0.86,0.86,0.86,0.86
pcrw,20190312,0.56,0.56,0.56,0.56
pcrw,20190313,0.57,0.57,0.57,0.57
pcrw,20190314,0.65,0.65,0.65,0.65
pcrw,20190315,0.54,0.54,0.54,0.54
pcrw,20190318,0.56,0.56,0.56,0.56
pcrw,20190319,0.4,0.4,0.4,0.4
pcrw,20190320,0.56,0.56,0.56,0.56
pcrw,20190322,1.45,1.45,1.45,1.45
pcrw,20190325,0.66,0.66,0.66,0.66
pcrw,20190326,0.12,0.12,0.12,0.12
pcrw,20190327,1.64,1.64,1.64,1.64
pcrw,20190328,0.08,0.08,0.08,0.08
pcrw,20190329,0.48,0.48,0.48,0.48
pcrw,20190330,0.48,0.48,0.48,0.48
pcrw,20190401,0.64,0.64,0.64,0.64
pcrw,20190402,0.57,0.57,0.57,0.57
pcrw,20190405,0.51,0.51,0.51,0.51
pcrw,20190408,1.04,1.04,1.04,1.04
pcrw,20190410,1.07,1.07,1.07,1.07
pcrw,20190411,0.72,0.72,0.72,0.72
pcrw,20190418,0.87,0.87,0.87,0.87
pcrw,20190422,1.54,1.54,1.54,1.54
pcrw,20190425,6.9,6.9,6.9,6.9
pcrw,20190502,0.91,0.91,0.91,0.91
pcrw,20190503,0.83,0.83,0.83,0.83
pcrw,20190506,1.05,1.05,1.05,1.05
pcrw,20190507,1.48,1.48,1.48,1.48
pcrw,20190508,1.48,1.48,1.48,1.48
pcrw,20190508,1.55,1.55,1.55,1.55
pcrw,20190509,1.28,1.28,1.28,1.28
pcrw,20190514,0.96,0.96,0.96,0.96
pcrw,20190516,0.99,0.99,0.99,0.99
pcrw,20190517,0.85,0.85,0.85,0.85
pcrw,20190527,0.51,0.51,0.51,0.51
pcrw,20190528,0.38,0.38,0.38,0.38
pcrw,20190624,1.11,1.11,1.11,1.11
pcrw,20190625,0.43,0.43,0.43,0.43
pcrw,20190626,0.37,0.37,0.37,0.37
pcrw,20190627,1.29,1.29,1.29,1.29
pcrw,20190628,0.71,0.71,0.71,0.71
pcrw,20190701,0.63,0.63,0.63,0.63
pcrw,20190702,0.6,0.6,0.6,0.6
pcrw,20190703,0.75,0.75,0.75,0.75
pcrw,20190705,1.71,1.71,1.71,1.71
pcrw,20190708,1.87,1.87,1.87,1.87
pcrw,20190709,1.16,1.16,1.16,1.16
pcrw,20190711,0.82,0.82,0.82,0.82
pcrw,20190712,1.29,1.29,1.29,1.29
pcrw,20190715,0.78,0.78,0.78,0.78
pcrw,20190716,0.6,0.6,0.6,0.6
pcrw,20190717,0.77,0.77,0.77,0.77
pcrw,20190718,1.52,1.52,1.52,1.52
